Category;Issuer;Cert Name;Skills description;Verification URL;Date Acquired;Picture File Name
Data Science;Dicoding;Fundamental Data Processing;"Software Engineering dengan Python: Mengimplementasikan praktik rekayasa perangkat lunak menggunakan bahasa pemrograman Python. (8 Jam 40 Menit)
Repositori Data: Menggunakan berbagai penyimpanan data berdasarkan tipe data, format data, dan kebutuhan lainnya, seperti data mining. (7 Jam 25 Menit)
ETL Pipelines: Extract: Memecahkan masalah pengumpulan data dengan melalui proses extract, transform, dan load (ETL) pipelines untuk mengambil serta mengenali data yang relevan menggunakan Python. (9 Jam 30 Menit)
ETL Pipelines: Transform dan Load: Memecahkan masalah data kotor dengan melakukan transformasi untuk membersihkan dan mengubah data, serta load untuk menyimpan data dalam proses extract, transform, dan load (ETL) pipelines. (12 Jam 20 Menit) 
Automasi dengan Python: Memproyeksikan proses automasi dalam data pipeline. (7 Jam 20 menit)";https://www.dicoding.com/certificates/98XWEDK9LXM3;May-25;Data Processing.png
Data Science;Dicoding;Python Data Analysis;"Dasar-Dasar Analisis Data: memahami berbagai konsep dasar analisis data beserta tahapannya (2 Jam 15 Menit).
Penerapan Dasar-Dasar Descriptive Statistics: mengetahui konsep dasar descriptive statistics dan penerapannya dalam proses analisis data (2 Jam 50 Menit).
Pertimbangan dalam Pengolahan Data: mengidentifikasi berbagai hal penting yang harus diperhatikan ketika mengolah data (1 Jam 50 Menit).
Data Wrangling: mengimplementasikan berbagai teknik data wrangling guna menyiapkan data yang bersih dan siap dianalisis.  (3 Jam 50 Menit).
Exploratory Data Analysis: menerapkan berbagai teknik EDA guna memperoleh gambaran terkait data yang dianalisis (3 Jam 20 Menit).
Data Visualization: Menerapkan berbagai teknik visualisasi data yang efektif guna mempermudah penyampaian hasil analisis data (3 Jam 50 Menit).
Pengembangan Dashboard: membuat dashboard menggunakan streamlit sebagai media penyampaian hasil analisis data yang interaktif (4 Jam 15 Menit).";https://www.dicoding.com/certificates/2VX3KD49JXYQ;May-25;Data Analysis.png
Data Science;Dicoding;Data Science Basic;"The Power of Data: Menunjukkan secara luas tentang data mulai dari Berkenalan dengan Dta, Jenis-Jenis Data, menentukan Keputusan dengan Data, hingga latihan terkait data untuk mengasah pemahaman terhadap materi. (100 menit)

Fundamental Data Science: Mengenalkan ilmu dasar data science mulai dari mengetahui istilah data science yang berisi deskripsi dan fakta menarik tentang data science, tren data science, hingga keterampilan yang harus dimiliki oleh seorang data science. (90 menit)

Menjelajahi Analisis Data: Membahas tentang analisis data mulai dari pengenalan istilah, siklus, hingga tahapan dalam proses analisis data itu sendiri. Selain itu terdapat studi kasus yang disajikan untuk meningkatkan pemahaman terhadap materi. (140 menit)

Teknologi dan Tools Pendukung Data Science: Mengeksplorasi teknologi dan tools yang digunakan oleh data science seperti SQL, NoSQL, Excel/Spreadsheet, SPSS, Tableau, hingga perbandingan antara Python dan R. (70 menit)

Machine Learning untuk Data Science: Mengenalkan penggunaan machine learning, alasan adanya machine learning di data science, hingga contoh penerapan machine learning di dunia nyata. (90 menit)

Mulailah Mencari Peluang - Eksplorasi Hingga Membuat Portofolio: Menunjukkan peluang data science di dunia, mulai dari peluang karier di dunia data, tips dan triks menjadi data scientist, hingga latihan membuat portofolio data scientist. (85 menit)";https://www.dicoding.com/certificates/KEXL2NM6WZG2;Oct-24;Data Science Basic.png
full stack;Dicoding;Node.js Application Developer;"Node Binary: Mengimplementasikan best practice ketika memasang, mengelola, dan menggunakan binary node beserta utilitas yang ada di dalamnya. (55 Menit)
Debugging dan Diagnostic: Mendeteksi, mendiagnosis, hingga memperbaiki bugs pada program dengan memanfaatkan inspector proses dalam melakukan debugging program. (2 Jam 25 Menit)
Package dan Dependencies: Menggunakan, membedakan, hingga membuat sebuah package Node.js (development maupun production) dengan menggunakan package manager npm. (1 Jam 30 Menit)
Module System di Node.js: Menemukenali, menggunakan, hingga memecahkan masalah interopabilitas antara format sistem modularisasi CommonJS dan ESM. (2 Jam 25 Menit)
Asynchronous Control Flow: Menggunakan callback, Promise, dan async-await untuk menangani proses asynchronous di Node.js (4 Jam 25 Menit)
Event System di Node.js: Menggunakan Event Emitter untuk menerapkan sistem dengan pola event-driven di aplikasi Node.js. (2 Jam 35 Menit)
Penanganan Error: Mendemonstrasikan penanganan error yang benar di Node.js. (3 Jam 10 Menit)
Bekerja dengan Buffer: Mendemonstrasikan penggunaan Buffer mulai dari pembuatan hingga konversi menjadi tipe data lain. (2 Jam 5 Menit)
Bekerja dengan Stream: Mendemomstrasikan penggunaan Stream mulai dari pembuatannya hingga cara menangani berbagai event yang ada di dalamnya. (3 Jam 25 Menit)
Interaksi dengan File System: Menggunakan core module fs untuk membaca dan menulis berkas hingga mendeteksi perubahan berkas dan folder di Node.js. (3 Jam 35 Menit)
Process dan Sistem Operasi: Berinteraksi dengan Standari Input dan Output, Exit Code, hingga menelaah informasi yang tersedia pada objek process dan os. (2 Jam 5 Menit)
Membuat Child Process: Membuat child process, menguraikan berbagai options yang ada, hingga berkomunikasi antara process dengan child process. (2 Jam 15 Menit)
Unit Testing: Mengidentifikasi dasar pengujian kode, menguji kode dengan core module assert dan testing runner framework, hingga merancang proyek Node.js yang dapat menjalankan pengujian dengan cara yang standar. (4 Jam 30 Menit)";https://www.dicoding.com/certificates/KEXL791WYXG2;Aug-24;Node.js App developer.png
Cloud Engineer;Dicoding;Architecting on AWS;"Pendahuluan : Menjelaskan tentang materi pengenalan, seperti apa saja yang harus Anda siapkan sebelum mengikuti kelas, AWS Well-Architected Framework, dan AWS Global Infrastructure. (1 jam)
Arsitektur Tersederhana : Membahas arsitektur yang paling sederhana, yakni Amazon S3, memilih AWS Regions, dan latihan meng-hosting website statis. (4 jam)
Menambahkan Lapisan Komputasi : Menelaah materi terkait Amazon EC2, Amazon Machine Images, Amazon EBS, Amazon EFS, dan Amazon FSx. (1 jam)
Menambahkan Lapisan Database : Mengupas tuntas materi tentang pertimbangan menambahkan lapisan database, Amazon RDS, Amazon DynamoDB, AWS DMS, dan latihan men-deploy aplikasi web di AWS. (5 jam)
Jaringan di AWS - Bagian 1 : Mengulas materi seputar Amazon VPC, keamanan jaringan di cloud, dan latihan membuat VPC. (4 jam 40 menit)
Jaringan di AWS - Bagian 2 : Mendeskripsikan materi tentang koneksi AWS VPN, AWS Direct Connect, VPC peering, AWS Transit Gateway, load balancing di AWS, dan Amazon Route 53. (1 jam)
AWS Identity and Access Management (IAM) : Menelaah pembahasan akun pengguna dan AWS IAM, federasi pengguna, Amazon Cognito, dan AWS Organizations. (1 jam)
Elastisitas, Ketersediaan Tinggi, dan Pemantauan : Menguraikan materi terkait Amazon CloudWatch, AWS CloudTrail, Amazon EC2 Auto Scaling; scaling database, dan latihan membuat lingkungan yang highly available. (4 jam 30 menit)
Automasi : Mengkaji materi terkait AWS CloudFormation, AWS Systems Manager, AWS OpsWorks, AWS Elastic Beanstalk, dan latihan mengotomatiskan proses deploy infrastruktur dengan AWS CloudFormation. (5 jam)
Caching : Menjelaskan caching di AWS dengan Amazon CloudFront, session management, Amazon DynamoDB Accelerator, dan Amazon ElastiCache. (2 jam)
Membangun Decoupled Architecture : Mengulik Amazon SQS dan Amazon SNS. (1 jam 40 menit)
Arsitektur Microservices dan Serverless : Membahas Amazon ECS, AWS Fargate, AWS Lambda, Amazon API Gateway, AWS Step Functions, dan latihan mengimplementasikan arsitektur serverless dengan AWS Managed Services. (4 jam 40 menit)
RTO/RPO dan Backup Recovery Setup : Menelaah materi tentang perencanaan mitigasi bencana, replikasi data, strategi pemulihan, dan AWS Storage Gateway. (1 jam 50 menit)
Pengoptimalan dan Ringkasan : Menguraikan praktik terbaik untuk pengoptimalan dan mengulas beberapa pertanyaan yang umum dihadapi developer dalam implementasi arsitektur AWS. (30 menit)";https://www.dicoding.com/certificates/GRX539O1YZ0M;Aug-24;Architechting on AWS.png
others;Dicoding;GitHub Basics;"Git dan GitHub : Mengerti apa itu Git dan GitHub serta manfaatnya dalam mengelola data atau kode. (1 Jam 45 Menit)
Dasar Git : Mengerti dasar-dasar pengelolaan data atau kode dengan Git, seperti membuat repository, membuat berkas, git commit, dan git checkout. (2 Jam 5 Menit) 
Studi Kasus Pengalaman Belajar : Meningkatkan pengalaman belajar mengenai dasar-dasar Git melalui sebuah studi kasus. (1 Jam 20 Menit) 
Git Branches : Mengerti konsep branching di dalam Git, akan mempelajari juga merging dan menyelesaikan conflict. (2 Jam 10 Menit) 
Kolaborasi dengan Tim : Mengerti bagaimana cara berkolaborasi dengan tim lain pada repository yang sama seperti melakukan forking, squashing changes, dan code reviews. (2 Jam 50 Menit) 
Studi Kasus Kolaborasi dengan Tim : Meningkatkan pengetahuan dalam berkolaborasi dengan tim seperti membuat repository baru, menyalin repository, dan studi kasus menangani pull request pada sebuah repository aktif di GitHub. (1 jam 15 Menit) 
GitHub sebagai Portofolio : Mengerti penggunaan GitHub sebagai portofolio dengan latihan membuat readme yang dapat dimanfaatkan sebagai portofolio dalam berkarier. (1 Jam 20 Menit)";https://www.dicoding.com/certificates/JMZVV0LR3ZN9;May-24;git.png
Cloud Engineer;Dicoding;Machine Learning Implementation using Google Cloud;"Mengelola Model TensorFlow di Lingkungan Produksi: mengerti pengelolaan model machine learning dari TensorFlow untuk berbagai lingkungan production, seperti web, server, dan perangkat lainnya seperti Android. (3 jam 45 menit)

Training dan Deployment Machine Learning pada Google Cloud: Anda akan diajak untuk memahami berbagai penerapan machine learning di Google Cloud mulai dari penggunaan Google Cloud CLI sebagai tools-nya, memanfaatkan Compute Engine untuk melakukan training dan deployment model hingga App Engine untuk deployment aplikasi machine learning. (9 jam 35 menit)

Mengoptimalkan Penyimpanan Data dengan Google Cloud: memahami secara mendalam penggunaan layanan-layanan data dari Google Cloud meliputi Cloud Storage dan Firestore untuk penyimpanan data aplikasi machine learning. (4 Jam 20 menit)

Studi Kasus: Membangun Aplikasi Machine Learning dengan Google Cloud: mempelajari cara membangun aplikasi machine learning dengan Google Cloud sebagai environment-nya. Modul ini dikemas dengan sebuah cerita fiktif dari perusahaan bernama Serta Mulia sehingga Anda dapat menemukan penerapan  machine learning yang nyata berdasarkan sebuah kisah. (9 jam 55 menit)

Mendalami Machine Learning Melalui Vertex AI: mengetahui layanan khusus AI dari Google Cloud bernama Vertex AI yang menawarkan berbagai tools untuk pengembangan model machine learning, mulai dari pengembangan hingga machine learning operations (MLOps). (2 jam 45 menit)";https://www.dicoding.com/certificates/07Z60WMORZQR;May-24;Gcloud Machine Learning.png
Data Science;Dicoding;AI Basics;"Berkenalan dengan Artificial Intelligence (AI): Mengidentifikasi konsep dasar tentang AI. (1 jam 30 menit)
Data untuk AI: Memaparkan konsep dasar tentang data serta pemanfaatannya dalam pengembangan AI. (1 jam 25 menit)
Pengantar Machine Learning: Menjelaskan konsep dasar Machine Learning sebagai bagian dari AI beserta contoh penerapannya. (2 jam 30 menit)
Deep Learning Untuk Semua Orang: Mengidentifikasi konsep penting dalam Deep Learning beserta mengimplementasikan contoh penerapannya. (2 jam 25 menit)";https://www.dicoding.com/certificates/07Z6086KRZQR;May-24;AI Basic.png
Cloud Engineer;Dicoding;Google Cloud Engineer;"Pengenalan Google Cloud: Mempelajari konsep cloud computing dan menyiapkan lingkungan untuk memulai pengembangan aplikasi di Google Cloud.  (2 jam 35 menit)
Layanan Komputasi di Google Cloud: Mempelajari berbagai layanan komputasi di Google Cloud dan bagaimana men-deploy sebuah aplikasi berbasis web. (6 jam)
Layanan Data di Google Cloud: Mempelajari beberapa layanan yang terkait dengan pengelolaan data di Google Cloud. (6 jam)
Layanan Jaringan di Google Cloud: Mempelajari berbagai layanan jaringan di Google Cloud yang memungkinkan banyak layanan saling berkomunikasi. (2 jam 25 menit)
Monitoring dan Logging : Mempelajari penggunaan Google Cloud's operations suite untuk memantau kondisi aplikasi dan menerima laporan ketika terjadi kegagalan. (3 jam 20 menit)
Manajemen Identitas dan Akses: Mempelajari manajemen identitas dan akses di Google Cloud dalam pengembangan solusi cloud. (2 jam 33 menit)
Deploy dan Implementasi Solusi Cloud : Mempelajari penggunaan Google Cloud Marketplace untuk pengembangan solusi cloud serta mengetahui praktik terbaik dalam mengembangkan solusi cloud. (2 jam)";https://www.dicoding.com/certificates/MRZMELE8RPYQ;May-24;Gcloud Engineer.png
others;Dicoding;Programming Logic 101;"Pendahuluan : Pengenalan istilah logika dan algoritma dan jenis-jenis logika pemrograman dasar. (1 jam 9 menit)
Gerbang Logika : Mengetahui apa itu gerbang logika dan jenis-jenisnya seperti AND, OR, NOT, NAND, NOR, XOR, dan XNOR. (1 jam 49 menit)
Pengenalan Dasar Computational Thinking : Mengetahui cara penyelesaian masalah menggunakan metode computational thinking meliputi, dekomposisi, pengenalan pola, abstraksi, penulisan algoritma, dan evaluasi. (1 jam 24 menit)
Penutup : Mengerti bagaimana ilmu logika pemrograman yang telah dipelajari dapat digunakan pada studi kasus yang nyata. (1 jam 7 menit)";https://www.dicoding.com/certificates/72ZDKDMLLPYW;May-24;programming 101.png
Data Science;Dicoding;Machine Learning Basics;"Modul 1: Hi, Machine Learning
Memperkenalkan dasar-dasar machine learning, termasuk definisi, sejarah, dan aplikasinya di berbagai bidang. (4 jam)
Modul 2: Machine Learning Workflow
Menjelaskan alur kerja dalam proyek machine learning, mulai dari pengumpulan data hingga evaluasi model dan penerapan. (14 jam 45 menit)
Modul 3: Supervised Learning - Klasifikasi
Membahas konsep klasifikasi dalam supervised learning, serta algoritma yang umum digunakan seperti KNN dan Decision Tree. (9 jam 5 menit)
Modul 4: Supervised Learning - Regresi
Mempelajari teknik regresi untuk memprediksi nilai kontinu, termasuk regresi linear dan evaluasi model. (10 jam)
Modul 5: Unsupervised Learning - Clustering
Memperkenalkan metode clustering untuk mengelompokkan data tanpa label, seperti menggunakan algoritma K-Means dan evaluasinya. (6 jam 55 menit)
Modul 6: Teknik Feature Engineering
Membahas strategi dalam feature engineering untuk mengoptimalkan fitur dan meningkatkan kinerja model machine learning. (7 jam 5 menit)
Modul 7: Overfitting dan Underfitting
Menjelaskan konsep overfitting dan underfitting dalam model machine learning, serta teknik untuk mencegah masalah ini. (4 jam 50 menit)
Modul 8: Optimasi Model dengan Hyperparameter Tuning
Mempelajari pentingnya hyperparameter tuning dan teknik yang digunakan untuk meningkatkan akurasi model. (6 jam 15 menit)";https://www.dicoding.com/certificates/MRZML090NXYQ;Nov-23;Machine Learning Basic.png
full stack;Dicoding;UX Design Basics;"Konsep Dasar UX (User Experience) Design : Memahami konsep dasar UX Design dan faktor yang mempengaruhinya, serta memahami proses desain dengan menggunakan pendekatan Design Thinking. (1 jam 15 menit)
Empathize, Define, & Ideate : Memahami bagaimana cara untuk mengetahui masalah utama (pain point) pengguna dengan membuat Empathy Map, User Persona, dan User Journey Map. Dilanjutkan dengan mendefinisikan masalah dalam Problem Statement dan melakukan eksplorasi untuk mencari solusi dengan menggunakan metode How Might We (HMW) dan Crazy Eight. (4 jam 5 menit)
Storyboard dan Wireframe : Mendefinisikan solusi dalam bentuk Goal Statement dan mengetahui cara membuat rancangan desain dengan membuat User Flow, Storyboard, dan Wireframe. (4 jam)
High-Fidelity Prototype : Memahami cara membuat Mockup dan High-Fidelity Prototype yang menarik dan interaktif dengan menerapkan prinsip desain visual. (4 jam 30 menit)
UX Research dan Dokumentasi : Merencanakan dan melakukan usability study, mengidentifikasi insight, memodifikasi desain berdasarkan hasil riset, dan membagikan hasil desain kepada tim. (3 jam)";https://www.dicoding.com/certificates/KEXLLNJWWXG2;Oct-23;UX Design.png
IT Support;Dicoding;Structured Query Language (SQL) Basics;"Pengenalan Data dan Basis Data: Mengenalkan data secara umum dan mengidentifikasi pentingnya data. Pada materi ini Anda akan mempelajari jenis-jenis data, tipe-tipe data, kemudian perbedaan antara data, basis data, dan dataset, serta mengenal basis data relasional. (1 jam 20 menit)

Database Management Systems (DBMS): Mengidentifikasi DBMS yang umum digunakan untuk mempelajari bahasa structured query language (SQL). Pada materi ini Anda akan mempelajari berbagai pilihan DBMS dan mengeksplorasi penggunaan DBMS di industri. (1 jam 25 menit)

Pengenalan Structured Query Language: Anda akan mengidentifikasi penyusun structured query language (SQL) di kelas dasar seperti data definition language (DDL) yang terdiri dari mengenal dan menyajikan tabel, implementasi tabel pada sehari-hari, tipe data yang didukung oleh tabel serta latihan. Kemudian data manipulation language (DML) yang terdiri dari SELECT, INSERT, UPDATE, dan DELETE. Lalu constraints yang terdiri dari unique, index, dan primary key. Anda juga akan mempelajari diagram yang didukung oleh bahasa SQL. (4 jam)

Basic Query: Pada modul ini Anda akan mengeksplorasi query yang akan Anda gunakan sebagai latihan seperti INSERT, SELECT & FROM, WHERE, hingga DELETE. (3 jam)";https://www.dicoding.com/certificates/81P239J1JXOY;Aug-23;sql.png
others;Dicoding;Project Management Basic;"Pengenalan Manajemen Proyek. Menafsirkan definisi manajemen proyek secara luas dan menjelaskan penerapan manajemen proyek pada kegiatan sehari-hari. Pada materi ini Anda akan mempelajari peran manajer proyek, latihan membuat resume, memahami nilai seorang manajer proyek, tanggung jawab manajer proyek, kerjasama lintas fungsi, dan kompetensi utama yang dibutuhkan oleh seorang manajer proyek. (1 Jam 10 Menit)

Siklus dan Metodologi Manajemen Proyek. Menggambarkan siklus manajemen proyek dan metodologi yang digunakan. Pada materi ini Anda akan mempelajari eksplorasi fase siklus manajemen proyek seperti inisiasi proyek, rencana proyek, eksekusi proyek, dan menutup proyek. Anda juga akan disuguhkan materi terkait Waterfall versus Agile, kemudian Lean serta Six Sigma. (4 Jam 25 Menit) 

Struktur dan Budaya Organisasi. Mempelajari struktur, studi kasus terkait struktur klasik dan matriks, serta mengidentifikasi peran PMO (Project Management Officer). (1 Jam 35 Menit)

Mengejar Karier Manajemen Proyek. Mengeksplorasi karier yang akan didapatkan ketika lulus kelas manajemen proyek, menerapkan kata kunci spesifik untuk posisi manajemen proyek di situs pencarian kerja seperti Dicoding Jobs, LinkedIn, Glints, dan platform lainnya, serta mampu paham dan mengingat bagaimana alur pencariannya. (1Jam 30 Menit)

Menutup Proyek. Berisi seluruh rangkuman modul-modul yang telah dipelajari sebelumnya serta terdapat ujian akhir sebagai prasyarat kelulusan pada kelas manajemen proyek. (1 Jam 5 Menit)";https://www.dicoding.com/certificates/NVP7O0MN4PR0;Aug-23;project.png
full stack;Dicoding;Back-End Basic with JavaScript;"Pengenalan ke Back-End : Menjelaskan peran front-end dan back-end, bagaimana cara client dan server berkomunikasi melalui protokol HTTP, dan arsitektur RESTFul API dalam membangun web service. (3 Jam) 
Dasar-Dasar Node.js : Mengenal Node.js serta mengetahui dasar dari Node.js seperti global dan process object, modularization, Node Package Manager (NPM), eventing, filesystem, dan teknik stream. (8 Jam) 
Membangun Web Service menggunakan Node.js : Membangun Web Service menggunakan Node.js secara native dan melalui framework Hapi, membangun RESTFul API sederhana. (10 Jam) 
Deploy Web Service : Mengenal dan menggunakan Amazon EC2, mengoperasikan Amazon EC2 melalui SSH, menjalankan RESTFul API di Amazon EC2. (5 Jam) 
Mengonsumsi dan Menguji RESTful API menggunakan Postman : Memasang Postman. Mengonsumsi RESTful API untuk tujuan pengujian dan menuliskan skenario uji otomatis menggunakan Postman. (5 Jam)";https://www.dicoding.com/certificates/2VX3JMLDNPYQ;Jul-23;back end basic.png
others;Dicoding;Kotlin Basic Programming;"Pendahuluan : Memperkenalkan sejarah Kotlin, mengapa harus mempelajari Kotlin, karakteristik Kotlin, dan bagaimana Kotlin berperan dalam pengembangan aplikasi. Akan dibahas juga tentang ekosistem Kotlin. (4 jam 30 menit) 
Persiapan Membangun dan Menjalankan Program Kotlin : Membuat program pertama di Kotlin dan menjalankannya. Selain itu, Anda akan belajar bagaimana menyiapkan dan menginstal beberapa tools seperti IDE dan build tools. Materi ini akan fokus pada penggunaan Gradle sebagai build tools dan menggunakan Kotlin DSL sebagai bahasa pada Gradle. Selain itu, pada materi ini akan membahas tentang struktur Gradle, cara menambahkan dependensi, menambahkan plugin, dan cara mengkonfigurasi plugin. (5 jam) 
Kotlin Fundamental : Memahami tentang teori dasar Kotlin dengan mempelajari konsep dasar dari Kotlin seperti menggunakan tipe data, membuat fungsi dasar, menangani tipe data null, dan membuat String Template. (5 jam) 
Control Flow : Mempelajari perbedaan antara expression dan statement, cara menggunakan enumeration, cara mengontrol aliran program menggunakan ekspresi if dan when, dan bagaimana menerapkan perulangan menggunakan while, do-while, dan break and continue. (4 jam) 
Data Classes dan Collections : Fokus pada bagaimana mengelola data di Kotlin dengan menggunakan data class dan collection. Anda juga akan belajar mengenai perbedaan antara collection yang ada pada Kotlin dan menggunakannya. (4 jam 30 menit) 
Kotlin Functional Programming : Memahami konsep function programing dengan mempelajari extension, lambda, higher-order function, recursion serta melihat contoh penerapannya pada collection operator dan scope function. (7 jam 30 menit)
Kotlin Object-Oriented Programming : Memahami mengenai konsep OOP pada Kotlin, bagaimana membuat sebuah class, properti dan fungsi dari class, dan mensimulasikan problematika dunia nyata dalam paradigma object-oriented programming (OOP). Memahami konsep OOP dengan mempelajari inheritance, abstract class, interface, visibility modifier, dan overloading. (7 jam 20 menit) 
Kotlin Generics : Belajar tentang variance dan cara menggunakan generic untuk membuat kelas yang dapat menerima berbagai jenis tipe data. (2 jam 30 menit) 
Berkenalan dengan Coroutines : Belajar dasar dari konsep concurrency seperti process dan thread. Anda juga akan diajarkan tentang permasalahan dalam proses yang bersamaan seperti deadlock, livelock, starvation, dan race condition. Dengan memahami permasalahan tersebut, Anda akan belajar menggunakan Coroutine dalam menyelesaikannya. (5 jam 25 menit)";https://www.dicoding.com/certificates/07Z6VO282XQR;Jun-23;kotlin.png
